2016-10-17 11:06:58,856 - DEBUG - Starting BlackJack.py...
2016-10-17 11:07:13,746 - INFO - ***Total EV : -0.784, sum of probas : 100.000, t1 : 2.0s, t2 : 1.7s, t3 : 11.2s, t_sum : 14.9s
2016-10-17 11:07:28,511 - INFO - ***Total EV : -0.776, sum of probas : 100.000, t1 : 2.0s, t2 : 1.7s, t3 : 11.1s, t_sum : 14.7s
2016-10-17 11:07:43,654 - INFO - ***Total EV : -1.077, sum of probas : 100.000, t1 : 2.0s, t2 : 1.6s, t3 : 11.5s, t_sum : 15.1s
2016-10-17 11:07:58,499 - INFO - ***Total EV : -0.652, sum of probas : 100.000, t1 : 2.1s, t2 : 1.6s, t3 : 11.1s, t_sum : 14.8s
2016-10-17 11:08:13,839 - INFO - ***Total EV : -0.845, sum of probas : 100.000, t1 : 2.0s, t2 : 1.6s, t3 : 11.6s, t_sum : 15.3s
2016-10-17 11:08:29,053 - INFO - ***Total EV : -0.680, sum of probas : 100.000, t1 : 2.1s, t2 : 1.6s, t3 : 11.4s, t_sum : 15.2s
2016-10-17 11:08:44,055 - INFO - ***Total EV : -0.934, sum of probas : 100.000, t1 : 2.2s, t2 : 1.6s, t3 : 11.2s, t_sum : 15.0s
2016-10-17 11:08:59,406 - INFO - ***Total EV : -0.330, sum of probas : 100.000, t1 : 2.0s, t2 : 1.6s, t3 : 11.4s, t_sum : 15.1s
2016-10-17 11:09:14,755 - INFO - ***Total EV : -1.344, sum of probas : 100.000, t1 : 2.0s, t2 : 1.7s, t3 : 11.6s, t_sum : 15.3s
2016-10-17 11:09:30,086 - INFO - ***Total EV : -1.132, sum of probas : 100.000, t1 : 2.1s, t2 : 1.6s, t3 : 11.5s, t_sum : 15.3s
2016-10-17 11:09:45,371 - INFO - ***Total EV : -1.735, sum of probas : 100.000, t1 : 2.1s, t2 : 1.7s, t3 : 11.4s, t_sum : 15.2s
2016-10-17 11:09:45,395 - INFO - Game 1 winnings: 0.00. Overall winnings: 0.00 (edge = N/A%). 11 hands. 0 spreads (0.0%)
2016-10-17 11:10:00,340 - INFO - ***Total EV : -0.784, sum of probas : 100.000, t1 : 2.0s, t2 : 1.6s, t3 : 11.3s, t_sum : 14.9s
2016-10-17 11:10:15,629 - INFO - ***Total EV : -0.834, sum of probas : 100.000, t1 : 2.1s, t2 : 1.6s, t3 : 11.4s, t_sum : 15.2s
2016-10-17 11:10:31,078 - INFO - ***Total EV : -0.650, sum of probas : 100.000, t1 : 2.1s, t2 : 1.7s, t3 : 11.6s, t_sum : 15.4s
